"Date","Time","Open","High","Low","Close","TotalVolume"
2002/7/22,09:01:00,5036.000000,5037.000000,5035.000000,5035.000000,78
2002/7/22,09:02:00,5039.000000,5045.000000,5039.000000,5045.000000,72
2002/7/22,09:03:00,5043.000000,5049.000000,5041.000000,5045.000000,61
2002/7/22,09:04:00,5049.000000,5049.000000,5040.000000,5042.000000,79
2002/7/22,09:05:00,5041.000000,5046.000000,5040.000000,5046.000000,71
2002/7/22,09:06:00,5040.000000,5046.000000,5040.000000,5041.000000,43
2002/7/22,09:07:00,5046.000000,5048.000000,5042.000000,5042.000000,55
2002/7/22,09:08:00,5041.000000,5043.000000,5039.000000,5040.000000,48
2002/7/22,09:09:00,5042.000000,5047.000000,5042.000000,5047.000000,36
2002/7/22,09:10:00,5045.000000,5047.000000,5040.000000,5040.000000,62
2002/7/22,09:11:00,5042.000000,5044.000000,5039.000000,5043.000000,41
2002/7/22,09:12:00,5044.000000,5047.000000,5043.000000,5044.000000,53
2002/7/22,09:13:00,5045.000000,5048.000000,5042.000000,5048.000000,47
2002/7/22,09:14:00,5050.000000,5051.000000,5047.000000,5050.000000,59
2002/7/22,09:15:00,5049.000000,5051.000000,5047.000000,5047.000000,44
